name,waters,characteristics,size,distribution,image
Marlin (Black),Saltwater,"Black Marlin are a member of the family Istiophoridae. They possess a long, pointed bill, a retractable dorsal fin and a rigid pectoral fin, which cannot be pressed against the side of the body. Black Marlin have two keels on either side of the tail base. Their name is derived from the colouration they take on when dead. Unlike Blue (Makaira mazara) and Striped Marlin (Tetrapturus audax), Black Marlin do not usually have any blotches or stripes along the body. Juvenile Black Marlin feed on tropical pilchards and herring while adults feed on trevally, tuna-like fishes and scad. Black Marlin are not normally dangerous, but have been known to attack boats and floating objects by impaling them with their bill.",Black Marlin can grow to a maximum length of 5 m and can weigh over 700 kg. Males are smaller than females.,"Black Marlin are found in tropical and subtropical waters of the Indian and Pacific Oceans. Occasionally found in waters off Australia's southern areas during the summer months. Black Marlin are a highly mobile, pelagic fish that inhabit almost any depth in the ocean, but usually prefer areas well offshore.",https://www.dpi.nsw.gov.au/__data/assets/image/0004/163921/marlin-black.jpg
Marlin (Blue),Saltwater,"Blue Marlin are a member of the family Istiophoridae. They possess a long, pointed bill and a non-rigid pectoral fin that can be folded against the body. The back of the fish is cobalt-blue in colour, breaking into silvery white on the lower half of the body. About 15 pale blue bars can be seen along the body, which fade after death. They feed on squid and finfish, particularly tuna-like species.","Blue Marlin can reach a maximum length of 5 m. Females can weigh more than 900 kg, while males only reach a weight of around 170 kg.","Blue Marlin are pelagic fish, but rarely found in ocean waters less than 100 m deep. Compared to other marlins, Blue Marlin have the most tropical distribution. They can be found throughout eastern and western Australian waters and depending on warm ocean currents, as far south as Tasmania.",https://www.dpi.nsw.gov.au/__data/assets/image/0011/163919/marlin-blue.jpg
Marlin (Striped),Saltwater,"Striped Marlin are a member of the family Istiophoridae. The body of Striped Marlin is more compressed compared to the more rounded body section of other marlin. The high pointed dorsal fin equals or exceeds the depth of the body and the pectoral fin can be folded flush against the body. Striped Marlin have a longer lower jaw than other marlin species and display 12 to 16 light blue vertical bars along the body, which tend to remain after death. It is purple-blue in colour on the top of the body and silvery-white on the sides. This species is carnivorous and non-selective in its feeding habits. The diet of Striped Marlin is comprised mainly of surface fish such as squid, lancetfish, anchovy, pilchard, trevally, small tuna-like species and flutemouths.",Striped Marlin can reach a length of 4.2 m and can weigh up to 200 kg.,"Striped Marlin inhabit tropical to temperate waters and can be found in ocean waters off all Australian states including Tasmania, but are more numerous in eastern Australia. They are a true oceanic species that prefer to inhabit cooler water than either the Blue Marlin (Makaira mazara) or Black Marlin (Makaira indica).",https://www.dpi.nsw.gov.au/__data/assets/image/0006/163923/marlin-striped.jpg
Morwong (Banded),Saltwater,"The reddish-silver body displays approximately 8 thick bands, which vary in colour from reddish-brown to almost black in juveniles. Banded Morwong feed on reef-dwelling shellfish and crustaceans, however, they are caught by spearfishers more often than by line fishers. They are a highly regarded tablefish.","They are the largest of the Morwongs, reaching a maximum length of approximately 70 cm and 15 kg in weight.","Banded Morwong inhabit exposed rocky headlands and coastal reefs, from Seal Rocks in NSW, throughout Victorian and Tasmanian waters to Robe in South Australia. They are also found in New Zealand, where they are known as Red Moki.",https://www.dpi.nsw.gov.au/__data/assets/image/0019/163450/morwong-banded.jpg
Morwong (Jackass),Saltwater,"Head & body are a greyish/silver colour. Some fish may have a yellow/red tinge on the upper body. Jackass Morwong possess a dark band across the top of their head, extending to the base of the pectoral fins. The seventh ray of the pectoral fin is greatly elongated and extends past the rest of the fin.",Maximum weight of about 4.5 kg and up to 70 cm in length.,"Jackass Morwong are found in Australia's southern waters, from Sydney to Rottnest Island in Western Australia. On the East Coast some fish have been caught as far north as Moreton Bay, Queensland. They generally occur as individuals or large schools and inhabit deep coastal waters (25 m to a depth of more than 200 m) and occasionally enter large coastal bays.",https://www.dpi.nsw.gov.au/__data/assets/image/0004/116464/jackass-mowie.jpg
Morwong (Red),Saltwater,"Jackass Morwong are found in Australia's southern waters, from Sydney to Rottnest Island in Western Australia. On the East Coast some fish have been caught as far north as Moreton Bay, Queensland. They generally occur as individuals or large schools and inhabit deep coastal waters (25 m to a depth of more than 200 m) and occasionally enter large coastal bays.",Maximum of approximately 4 kg and 65 cm in length.,"Red Morwong are confined to the east coast of Australia, from southern Queensland to Bass Straight. They are common in NSW waters, occurring in shallow coastal waters to a depth of approximately 30 m.",https://www.dpi.nsw.gov.au/__data/assets/image/0003/163452/morwong-red.jpg
Moses Snapper,Saltwater,"Moses Snapper (Perch) are easily identified by a black spot on the sides just above the lateral line. The general colour of the fish varies with age from a light red to a bronze, similar to the colouring of snapper. There are about 6 golden strips running along the body, which are more prominent on larger fish. The flesh is white and firm and it is considered one of our better table fish.",Maximum weight of around 2 kg and 45 cm in length.,Moses Snapper (Perch) are generally found on coastal reefs and estuaries with adult fish more common in deeper water off shore. They are found in the warm waters generally north of Port Macquarie and along the entire Queensland coast.,https://www.dpi.nsw.gov.au/__data/assets/image/0003/163533/mosses-perch.jpg
Mud Crab,Saltwater,"Mud Crab are a member of the family Portunidae. They are large crabs with a smooth, broad carapace and possess sizeable claws used for crushing and cutting prey. The two hind legs are flattened for swimming. Mud Crab are generally very dark brown to mottled green in colour. Juvenile's feed on planktonic animals, benthic molluscs and crustaceans while adults feed on bivalve and gastropod molluscs (mussels and pipis), small crabs and polychaete worms.",Mud Crab can reach a maximum size of approximately 24 cm carapace width and 3.5 kg in weight.,"Mud Crab inhabit tropical to warm temperate waters from Exmouth in Western Australia up and along the coastline of the Northern Territory and Queensland to the Bega River in southern New South Wales. They favour soft muddy bottoms below the low tide level and generally live in sheltered estuaries, mud flats, mangrove forests and the tidal reaches of some rivers.",https://www.dpi.nsw.gov.au/__data/assets/image/0010/117478/blackcrab.jpg
Mullet,Saltwater,"The head of the Sea (bully) Mullet is very broad when viewed from above, but narrowed when viewed from the side. The back of these mullet may vary in colour from steely blue, olive green to brown, while the belly is a bright silvery white colour and the body is fat and cylindrical. The Sand Mullet is a much more streamlined fish with a more pointed, narrower head and smaller eyes. A small, dark blotch is evident at the base of its pectoral fins and the fish is much more silver overall.","Sea (bully) mullet reach a maximum length of approximately 75 cm and 8 kg in weight, while flat-tail mullet and sand mullet are a smaller species, reaching a maximum length of approximately 45 cm.","Particularly abundant in estuaries and coastal waters of NSW, the latter two species are more prevalent in southern NSW.",https://www.dpi.nsw.gov.au/__data/assets/image/0016/116530/mullet.jpg
Mulloway,Saltwater,"Mulloway are mostly silver with a blue/grey, green, or bronze coloured back. They possess a line of silver/white spots that follow the lateral line and sometimes have a black mark at the pectoral fin base.",Maximum of approximately 60 kg and a length of 1.8 m.,"Mulloway are found in coastal waters from Rockhampton in Queensland to North West Cape, Western Australia (excluding Tasmania).",https://www.dpi.nsw.gov.au/__data/assets/image/0017/116540/mulloway.jpg
Murray Cod,Freshwater,"Murray Cod are a member of the family Percichthyidae and have a relatively large, elongate and deep body. They have small eyes and a short snout, which has a distinct concave profile. The mouth is large with a protruding lower jaw. Murray Cod possess a cream to olive green colour with dark grey to greenish blotches over the head and body. The ventral surface (belly) is generally white in colour. These cod are voracious feeders and predators. Their diet consists of fish, crustaceans, water birds, frogs, turtles and terrestrial animals such as mice and snakes.",Murray Cod reach a maximum size of about 1.8 m and 113 kg.,"Murray Cod, also referred to as cod or codfish, were once abundant throughout the Murray-Darling river system, but overfishing and environmental changes have drastically reduced its numbers. The species has been selectively stocked in other river systems in NSW, Victoria and Western Australia, but has generally failed to establish itself in those areas. Murray Cod generally prefer slow flowing, turbid water in streams and rivers, favouring deeper water around boulders, undercut banks, overhanging vegetation and logs. Small numbers are still present in the Nepean River and Yarra River.",https://www.dpi.nsw.gov.au/__data/assets/image/0008/118259/murray-cod.jpg
Murray Crayfish,Freshwater,"Murray Crayfish are slow-growing animals and may take up to nine years until they reach their legal length of 10 cm.  They are opportunistic feeders, feeding on decaying animals and plants. Like all other freshwater crayfish species, they undertake a series of moults as they grow.  Murray Crayfish become more active during the winter months.  Mating activity usually occurs during May, most likely cued to a decline in water temperatures.  Females carry eggs under their tails (attached to the mother's pleopods).  Eggs hatch during late spring, around 140 days after fertilisation.  Juveniles remain attached to the mothers pleopods until they have gone through a series of moults, after which time they become self sufficient.",Murray Crayfish have been reported to grow to 3 kg and are the second largest freshwater crayfish in the world behind the Tasmanian Freshwater Crayfish.,"Murray Crayfish can be found in the Murray River upstream of Mildura, in the Murrumbidgee River and in some dams, and are the only species in the Euastacus genus that live in both cold and warm water habitats.",https://www.dpi.nsw.gov.au/__data/assets/image/0018/160038/murray-cray.jpg
Native Oyster,Saltwater,"Flat oysters are bivalve molluscs belonging to the family Ostreidae. They are roughly egg-shaped with valves of unequal size and shape. The shell margin is slightly irregular and is white or cream in colour on the inner surface and purplish-green to olive-brown or gray on the outer shell surface. They are plankton feeders, filtering algae from the water.","The flat oyster can attain around 25 cm in diameter, but are commonly less than 10 cm.","The flat or native oyster is found throughout the marine and estuarine habitats of southern Australia, from mid NSW to the southern parts of Western Australia and Tasmania. They usually attach themselves to hard substrates before later breaking free to settle on sand or soft mud. These oysters live in the subtidal zone from about 2 to 20 m depth.",
Octopus,Saltwater,"Octopi have 8 arms that create an umbrella shape around the central rounded head. Each arm has two rows of suckers and is 3 to 4 times longer than the body. The head has two large eyes and the octopus could be many different colours from a red to a pale grey, with or without mottling and with or without protrusions on its skin.","Southern octopus to around 40 cm, pale octopus to around 60 cm and Maori octopus to an arm span of 300 cm.","Several species of octopus are found throughout NSW waters, from the shallow intertidal rock ledges to the deep offshore areas.",https://www.dpi.nsw.gov.au/__data/assets/image/0011/164396/octopus.jpg
Pacific Oyster,Saltwater,"The Pacific Oyster is a member of the family Ostreidae and possesses a relatively thin shell with no hinge teeth on the inner, upper shell. The adductor muscle (the muscle which holds the two shells together) is purple or brown in colour, whilst the edges of the mantle (the tissue which secretes and lines the shell) are black. The Pacific Oyster has a very high growth rate and rate of reproduction. They are plankton feeders, filtering algae from the water.",Pacific Oysters reach a marketable size of 50 g in 10 months to 2 years.,"The Pacific Oyster is endemic to Japan, but has been introduced into a number of other countries including Australia. It was deliberately introduced into Tasmania, Victoria, Western Australia and South Australia and has spread to NSW and southern Queensland. Adult oysters are sessile and will settle on any hard substrate in the intertidal and shallow subtidal zones, to a depth of about 3 metres. They favour brackish waters in sheltered estuaries, however Pacific Oysters can tolerate a large range of salinities and water quality.",
Pearl Perch,Saltwater,"They are pearlish-green-silver-grey in colour with golden-brown specks on the scales. Pearl Perch are characterised by a large, shiny mark behind the gill covers and a small, dark blotch at the rear of the dorsal fin rays. Anglers generally catch this species on offshore reefs using baits such as squid, octopus, prawns and small live bait. Pearl Perch is regarded as one of the best tasting fish in the ocean.",Maximum weight of around 5.5 kg and 70 cm in length.,"Pearl Perch are found in small schools on deeper offshore reefs, between Port Macquarie in NSW and Rockhampton in Queensland.",https://www.dpi.nsw.gov.au/__data/assets/image/0008/116549/pearl-perch.jpg
Prawn - Black Tiger,Saltwater,Tiger Prawns are brown with distinct dark bands. There are 7-8 spines on top of the rostrum and 2-3 spines on the underside.,"Black Tiger Prawns can reach 35 cm in length and 150 g in weight. However, they are commonly harvested at 10-13 cm.","Black Tiger Prawns are occasionally trawled off the coasts of Western Australia, the Northern Territory and Queensland, out to depths of 150 m. However, most are produced by Aquaculture. In NSW, Tiger Prawns are grown at a number of north coast Prawn Farms.",
Prawn - School Prawn,Saltwater,"About 90 % of the prawns taken by anglers are king prawns (Penaeus plebejus), with the remainder of the catch being school prawns. King Prawns have a cream to yellow body with dark brown ridges, and possess a straight rostrum with one tooth on the lower surface. School Prawns are translucent with irregular brown or green spots and brown antennae, and have a rostrum with a smooth lower surface.",School Prawns can grow to a total length of 13 - 16 cm and King prawns to a total length of 30 cm.,"School and Eastern King Prawns are endemic to estuarine and coastal waters along the east coast of Australia.  Juvenile Prawns of both species inhabit estuaries, generally near seagrass beds. Adults are predominantly found in ocean waters, but may occur in estuaries.",
Purple Sea Urchin,Saltwater,"The Purple Sea Urchin is a member of the family Echinometridae and possesses a hard exoskeleton with numerous sharp, solid spines that taper to a point. Body colour ranges from white to green, purple and black and the spines are typically different in colour. They have tube feet and the mouth is located on the underside of the body. Purple Urchins feed by actively grazing rock surfaces and by trapping algae or seagrasses.",Purple Sea Urchins can reach up to 14 cm in test (external skeleton surrounding the body) diameter.,"Purple Sea Urchins are an endemic Australian species, which can are found in southern Queensland, NSW, Victoria, Tasmania, South Australia and Western Australia. They inhabit coastal waters up to 35 m in depth, but are most common in waters shallower than 10 m. As benthic animals, they are often found attached to rocky reefs, stones, seagrass beds, in crevices and burrows and on sandy mud bottoms. The species seems to prefer areas not fully exposed to wave motion.",
Rainbow Trout,Freshwater,"The Rainbow Trout tends to have a more compressed body than that of the brown trout. Colours vary from silver to pale olive-brownish, darker dorsally with spots on the head, body, dorsal and tail. They have a rosy pink stripe along the mid-line and gill covers. River fish, and those on spawning migrations, tend to display more intense colourations with the pink becoming crimson and the lower fins, lower sides and belly becoming grey.","Although known to reach more than 110 cm and more than 18 kg, fish larger than 60 cm or weighing more than 4 kg are exceptional.","This species, native to North America, occurs in the high country from northern NSW to Victoria, in hills near Adelaide, South Australia and in Tasmania. These fish are frequently maintained by stocking and have a more restricted local distribution than brown trout.",https://www.dpi.nsw.gov.au/__data/assets/image/0015/160035/rainbow-trout.jpg
Rock Blackfish,Saltwater,"Rock Blackfish have a blackish-brown to grey body. They possess a dorsal fin (with 13 spines) that extends to the tail base. Their diet includes cunjevoi, red bait crab and cabbage seaweed. They are a tough fighter and a great sportfish, using their strong swimming tail to hide under rock ledges or in crevices.",Maximum weight of approximately 9 kg and a length of 76 cm.,"Eastern Rock Blackfish are found in surge areas of rocky shorelines along the NSW coast, as well as southern Queensland, Victoria and north-eastern Tasmania.",https://www.dpi.nsw.gov.au/__data/assets/image/0011/163559/rock-blackfish.jpg
Sailfish,Saltwater,"Sailfish are a member of the family Istiophoridae and are easily identified by their distinctive cobalt blue, sail-like dorsal fin, which stands twice as high as the body is deep. The upper body is dark purple and the lower body is a paler silvery blue. The bill is long and slender and usually rough to touch. Sailfish generally feed on pilchards, yellowtail, tailor and other baitfish species.",Sailfish can reach a maximum length of 3.6 m and weight of 60 kg.,"Sailfish are rarely found outside the tropics, but have been found in the more southern waters of Australia's east and west coasts during the summer months. They are pelagic, seasonally migratory fish.",https://www.dpi.nsw.gov.au/__data/assets/image/0017/116801/sailfish.jpg
Samsonfish,Saltwater,"These fish exhibit a lot of variation in head and body shape as well as colour. Generally silvery with a bronzy coloured back, often displaying vertical patterns of mottling. These fish have a blunt head that lessons in degree as the fish ages and may show a yellow band down the side of the body.  ",May attain a maximum size of approximately 175 cm.  ,"Inhabit coastal waters of NSW, commonly in and around reefs.",https://www.dpi.nsw.gov.au/__data/assets/image/0009/164547/samsonfish.jpg
Sand Whiting,Saltwater,"Sand Whiting are a member of the family Sillaginidae. They are silvery white in colour, with plain yellowish sides. Dark blotches are present at the base of the pectoral fins. In terms of shape, they are fairly elongate and only slightly compressed. The snout is relatively long and conical. Sand Whiting feed on marine invertebrates, including crustaceans (yabbies, prawns and soldier crabs), polychaete worms and bivalve molluscs (pipis). Sand Whiting use their conical snout to forage for benthic animals through sand and mud. This species is known to bury itself in soft sand and mud when alarmed.",Sand Whiting can reach a maximum length of around 47 cm.,"Sand Whiting, also known as Summer Whiting, Silver Whiting and Blue-nose Whiting, inhabit the inshore waters of eastern Australia including coastal beaches, sand bars, bays, coastal lakes, estuaries and rivers as far as the tidal limits. They typically form large schools across sand banks near river mouths and in the surf zone. Sand Whiting generally favour sandy or muddy sand substrates in shallow water to about 6 m depth.",https://www.dpi.nsw.gov.au/__data/assets/image/0005/163436/whiting.jpg
Shark - Blue,Saltwater,"Dorsal colouration dark blue becoming bright on the sides and abruptly white underneath. The body is normally long and slender with a long snout and extremely long, narrow, pointed pectoral fins and a dorsal fin that originates well after the rear edge of the pectoral fin.  ",Maximum size up to around 4 m in length.  ,"An oceanic, circum-global shark that inhabits tropical and sub-tropical waters. This shark occurs from the surface to at least 150 m deep.  ",
Shark - Hammerhead,Saltwater,Head with laterally expanded blades shaped like a hammer or mallet in profile and the first dorsal fin is moderate to large in size. Teeth small to moderate in size and blade like in shape. The colour of the Hammerhead is light grey or brownish above becoming white below. Smooth Hammerhead ? front head profile without grooves. Scalloped Hammerhead ? front head profile with distinct grooves. Great Hammerhead ? front head profile lacking distinct grooves and the dorsal fin is high and straight.,The Smooth and Scalloped Hammerheads may reach to 4.5 m in length but Great Hammerheads may reach 6 m in length.,Hammerhead Sharks are a warm-temperate to tropical species of sharks with a wide ranging distribution. They range in depth from the surf line out to sea and from the surface down to at least 275 m.,
Shark - Mako,Saltwater,"The Mako has a spindle-shaped body with a long, acutely conical snout and large blade-like teeth that lack serrations and are always visible. The pectoral fins have narrow tips, the first dorsal fin is large and the second pivoting and minute. There are strong keels on the tail wrist and the tail is lunate or crescent shaped. These fish are dark indigo-blue dorsally, have light blue flanks and a white underside that extends to the underside of the snout.",Maximum size up to around 4 m in length.,The Mako Shark is an offshore species found in tropical and warm temperate seas in waters generally over 16oC and occurring from the surface to depths of at least 150 m.,https://www.dpi.nsw.gov.au/__data/assets/image/0003/163425/mako.jpg
Shark - School,Saltwater,"A slender, long-nosed Houndshark with large, horizontally oval eyes and an arched mouth. The teeth are bladelike in both jaws and the second dorsal fin is much smaller than the first, similar to the anal fin.",These sharks may reach 175 cm in Australian waters.,An active coastal pelagic species of temperate continental waters that is found from the surf line to well offshore. They are found in southern NSW but more commonly from eastern Bass Strait through to South Australia.,https://www.dpi.nsw.gov.au/__data/assets/image/0003/163551/school-shark.jpg
Shark - Whaler,Saltwater,"Whaler Sharks have 5 gills slits, a first dorsal fin much larger than the second, the second aligning with the anal fin. These sharks are grey to dusky bronze dorsally that fades to lighter ventrally. Fins of this species often have dusky or dark markings on their tips.",These sharks have a maximum size of 2.5 to 4 m in length depending on the species.,"The distribution of these sharks is species specific, but whaler sharks are found throughout NSW waters from the upper reaches of estuarine rivers to offshore areas.",https://www.dpi.nsw.gov.au/__data/assets/image/0005/163553/bronze-whaler.jpg
Shark - Wobbegong,Saltwater,"The head and body are various shades of brown forming mottled patterns, and they have numerous skin flaps around the mouth. Wobbegong Sharks can become aggressive if disturbed, and are able to reach back and bite a hand holding their tail.",Reaches a length of 3 m and a weight of over 70 kg.,"Wobbegong Sharks occur along the east coast from southern Queensland through to Western Australia, including Tasmania. They inhabit shallow, inshore waters (less than 100 m deep) where rock and weed are prominent.",https://www.dpi.nsw.gov.au/__data/assets/image/0005/116933/wobbegong.jpg
Shortbill Spearfish,Saltwater,The Shortbill Spearfish is one of the smallest and poorly known species of billfishes. Its occurrence in shallow south coast waters is a very rare event. A dark black band extends across the top of the fish with a silver-white colour below. The dorsal and ventral fins are almost black and the anal fins are a white colour. The inner surfaces of the caudal and pectoral fins are black and the outer surface is white.,Maximum length of around 2 m.,"In Australia, the species has only ever been recorded off Perth (WA), Port Stephens (NSW) and Adelaide (SA). It is rarely seen in coastal waters as it prefers oceanic conditions.",https://www.dpi.nsw.gov.au/__data/assets/image/0004/163471/spearfish.jpg
Silver Perch,Freshwater,"Silver Perch are a moderate to large freshwater fish native to the Murray-Darling river system. Silver Perch are oval shaped with a small head that can become beak-like in larger fish. The colour can be grey, greenish, gold or silvery, darker on the back and paler on the sides, with a white belly. Juveniles may be mottled with vertical dark bars.","Silver Perch usually reach 30-40 cm and 0.5-1.5 kg, but have been recorded up to 8 kg.","Silver Perch were once widespread and abundant throughout most of the Murray-Darling river system. They have now declined to low numbers or disappeared from most of their former range. Only one remaining secure and self sustaining population occurs in NSW in the central Murray River downstream of Yarrawonga weir, as well as several anabranches and tributaries.",https://www.dpi.nsw.gov.au/__data/assets/image/0009/219807/Silver-perch.jpg
Slipper Lobster,Saltwater,"Both species are easily distinguishable. The aesop has pronounced bumps along its abdomen, where as the Blunt Slipper Lobster has much less obvious bumps. Very different from other rock lobsters (ornate, eastern & southern) with the main distinguishing feature being the Slipper Lobsters antennae, which have evolved into short, broad, plate-like flat antennae, rather than the long thin antennae of the other rock lobsters.",Carapace length to over 21 cm (over 50.5 cm total length).,"There are two main species of Slipper Lobster found in Australian waters, the Aesop Slipper Lobster (S. haanii) and Blunt Slipper Lobster (S. squammosus). Both are also commonly known as Flat Lobsters or Slipper Bugs. Slipper Lobsters are found on both the east and west coasts. They are not regularly commercially fished, however they may be caught and marketed as part of the prawn trawl fishery bycatch. Found in depths up to 135 m but can be found as shallow as 10 m.",
Snapper,Saltwater,"Bright blue spots on body that become less distinct with age, and a background colour of pinkish silver to red. Large fish may have a large bony hump on the head and a fleshy bulge on the snout. Snapper are a popular angling species and are regarded as an excellent table fish. Common names include: Cockney Bream, Reddies and Squire, which are the names of juvenile Snapper during different stages of their lifecycle.",Maximum of 20 kg and a length of over 1 m.,Common in coastal and offshore waters from the Capricorn Group in north Queensland around the coast of southern Australia to Coral Bay in Western Australia (including Tasmania).,https://www.dpi.nsw.gov.au/__data/assets/image/0017/163430/snapper-juv.jpg
Sole,Saltwater,"These fish are laterally flattened bottom dwellers with both eyes on one side. They have distinct colouration with features such as spots, irregular blotches and lines sometimes present on one side of their body, with the other being pale. They lack a distinct tail and have a smaller mouth than flounder.  ",These fish range in total length from 27 cm to approimately 60 cm.  ,"Various species inhabit NSW waters including the Black Sole, found throughout, as well as Lemon Tongue Sole found as far south as Sydney. They are commonly found in bays and estuaries on sandy or silty bottoms.  ",
Southern Bluefin Tuna,Saltwater,"Southern Bluefin Tuna are a member of the family Scombridae and are recognised by their relatively short pectoral fins and robust body. Their upper bodies are blackish-blue and the underside is a silver colour. Juvenile and adult Southern Bluefin Tuna are opportunistic feeders that feed mainly on squid, crustaceans, fish and planktonic animals.","Southern Bluefin Tuna can reach a maximum length of 2.35 m and can attain a weight of around 200 kg, but rarely exceed 100 kg in Australian waters.",Southern Bluefin Tuna are highly migratory pelagic fish. In Australian waters they range from northern NSW around southern Australia to northwestern Australia. They tend to form large surface schools in offshore waters off southern Australia at certain times of the year. Overfishing has drastically reduced its numbers.,https://www.dpi.nsw.gov.au/__data/assets/image/0006/219687/Southern-bluefin-tuna.jpg
Southern Rock Lobster,Saltwater,"Southern Rock Lobster is a member of the family Palinuridae. They possess two distinct, long supraorbital spines on the upper anterior part of the carapace (upper shell). The carapace also has numerous small spines that are raised and narrow. They range in colour from a reddish-purple and orange in shallower waters to purple and yellow in deeper waters. The species is carnivorous feeding on molluscs, small crustaceans, echinoderms (sea-urchins and sea-stars) and other benthic (bottom dwelling) organisms.","Adult Southern Rock Lobsters can reach up to 23 cm in length, measured along the carapace. Males tend to be slightly larger than females.","Southern Rock Lobsters are distributed from northern NSW, around Tasmania and across South Australia into Western Australia. They are also found in New Zealand waters. They inhabit a variety of reef habitats in waters ranging from 1 m to approximately 200 m in depth.",
Spanner Crab,Saltwater,"The spanner crab is red/orange in colour with some small white spots on the top of the carapace. Their claws are large and inward facing. Unlike other crabs, which move in a sideways motion, spanner crabs move forwards and backwards.",A maximum weight of 900 g and a carapace length of 150 mm.,"Spanner Crabs inhabit coastal waters along the east coast of Australia, from Yeppoon in Queensland to Nowra on the south coast of NSW. There is also a population to the north of Perth in Western Australia. Spanner crabs prefer sandy habitat to depths of more than 100 m, but may be found in a number of environments, from sheltered bays to surf zones.",https://www.dpi.nsw.gov.au/__data/assets/image/0016/117520/spanner_cb.jpg
Spiny Crayfish,Freshwater,"Euastacus Crayfish are slow-growing animals taking many years to reach their legal length of 9 cm. Like all other freshwater crayfish species, they undertake a series of moults as they grow. They are late maturing and long lived animals. They are major processors of organic matter acting as shredders, predators, collectors and grazers. They are an important source of food for other fauna including invertebrates, frogs, fish and platypus.  They also assist in maintaining river health and structure.",Euastacus Crayfish species range in size between approximately 4 cm and 12 cm maximum occipital carapace length.,"Euastacus Crayfish, also known as spiny crayfish, are widely distributed in Australia living in both cold and warm habitats from far north Queensland to the South Australia/Victoria border. Many spiny crayfish species have a limited distribution and are endemic to certain localities.",https://www.dpi.nsw.gov.au/__data/assets/image/0007/533086/Spiney-crayfish.png
Squid,Saltwater,"Squid have eight arms and two tentacles around the mouth, with each arm having two rows of tentacles and four rows on the club ends of the tentacles. Loligo Squids have an elongate mantle with rhombic terminal fins while Calamari Squid have a more robust mantle with a rounded end and fins that extend nearly the entire length of the mantle. Arrow Squid have a heavily muscled, narrow mantle and tentacles with suckers containing sharp teeth.",Southern Calamari squid have been known to grow to 38 cm (mantle length).,"Various species inhabit NSW waters from the shallow inshore reefs and weed beds to the offshore, open water areas. Mitre Squid have been recorded from northern NSW down to Botany Bay, while Southern Calamari Squid are found throughout NSW usually to a depth of less than 100 m. Arrow Squid are also found throughout NSW waters and live anywhere from the estuaries to 500 m deep offshore areas.",https://www.dpi.nsw.gov.au/__data/assets/image/0004/164398/squid.jpg
Swordfish,Saltwater,"Swordfish are a member of the family Xiphiidae and they are easily recognised by their relatively long and wide flattened sword, which distinguishes them from the marlins and sailfish. They have dorsal fins that are widely separated and they do not possess ventral fins. A large keel is present on each side of the body in front of the tail. Swordfish are a blackish-brown on the upper body and a light brown on the lower body. Adult Swordfish inhabiting deep oceanic waters feed on pelagic fish and squid. Those that inhabit shallower continental shelf waters are opportunistic feeders, preying on demersal and pelagic fish. Adult Swordfish have no teeth or scales.",Swordfish can reach a maximum length of 4.5 m and a maximum weight of 540 kg. Male Swordfish are rarely seen at sizes exceeding 90 kg.,"Swordfish, also known as Broadbill Swordfish or Broadbill, generally inhabit all Australian waters beyond the continental shelf and occur infrequently in the coastal waters of southern Australia. They prefer cooler, temperate waters. Swordfish typically move to surface waters at night and inhabit deeper waters during the day. These vertical movements may be rapid and indicate that the fish can tolerate a broad range of temperatures. Swordfish are generally solitary animals.",https://www.dpi.nsw.gov.au/__data/assets/image/0018/117009/swordfish.jpg
Sydney Rock Oyster,Saltwater,"They possess a smooth, thick shell with small teeth on the internal rim of the shell, generally near the hinge. The mantle edges and the adductor muscle scar are pale in colour.","Sydney Rock Oysters reach approximately 60 g in 3 years, and have been known to live for up to 10 years.","Sydney Rock Oysters are endemic to Australia and inhabit sheltered estuaries and bays, from Hervey Bay in Queensland to Wingan Inlet in Victoria.",https://www.dpi.nsw.gov.au/__data/assets/image/0015/117600/oysters.jpg
Tailor,Saltwater,"Protruding lower jaw, dorsal fin spines small & weak (not very rigid). Upper body has a green to bluish tinge, lower body silvery. Seasonally abundant, often found in large schools in estuaries and inshore waters. Small tailor are often called ""choppers"".",Maximum of 16 kg and 1.2 m in length.,Tailor are found from Fraser Island in Queensland around the coast to Point Quobba in Western Australia (including Tasmania). Lower numbers are generally found around southern Australia.,https://www.dpi.nsw.gov.au/__data/assets/image/0006/163581/tailor.jpg
Tarwhine,Saltwater,"Tarwhine are found from Townsville in Queensland, south through to Albany in Western Australia (excluding Tasmania).",3 kg and a length of over 40 cm (Tarwhine up to 70 cm have been caught in South Africa).,"Prominent golden lines on head and body, with a silver background colour. The head is more rounded and snout not as pointed as bream.",https://www.dpi.nsw.gov.au/__data/assets/image/0017/117044/tarwhine.jpg
Teraglin,Saltwater,"Base colour is silver, while the back is generally bluish-brown in colour. The inside of the mouth and gill cover is yellow to pinkish-yellow, compared with the reddish/grey/orange lining of the Mulloway's mouth. Teraglin are only caught around offshore reefs, not from beaches or in estuaries. During the day, Teraglin reside near the ocean floor, but rise towards the surface to feed during the night. Teraglin is a notable eating fish. Common name: trag.",Maximum of approximately 20 kg and a length of 1 m.,Adult Teraglin inhabit offshore reefs between Brisbane and Montague Island in NSW. Juveniles occur in inshore waters.,https://www.dpi.nsw.gov.au/__data/assets/image/0014/117050/teraglin.jpg
